Nombre del Curso,Cantidad de Alumnos,Rut,Nombre Alumno,Apellido Alumno
Primero Basico A,10,12345678-9,Juan,Perez
Primero Basico A,10,98765432-1,Ana,Sanchez
Primero Basico A,10,23456789-0,Luis,Gomez
Primero Basico A,10,34567890-2,Maria,Rodriguez
Primero Basico A,10,45678901-3,Pedro,Fernandez
Primero Basico A,10,56789012-4,Sofia,Lopez
Primero Basico A,10,67890123-5,Diego,Chavez
Primero Basico A,10,78901234-6,Valentina,Ruiz
Primero Basico A,10,89012345-7,Manuel,Martinez
Primero Basico A,10,90123456-8,Isabella,Hernandez
Primero Basico B,10,12349876-9,Carlos,Silva
Primero Basico B,10,98764321-1,Ana,Morales
Primero Basico B,10,23458967-0,Miguel,Perez
Primero Basico B,10,34567892-2,Julia,Fernandez
Primero Basico B,10,45987654-3,David,Gomez
Primero Basico B,10,56781234-4,Isabella,Lopez
Primero Basico B,10,67892345-5,Diego,Rodriguez
Primero Basico B,10,78901235-6,Lucia,Chavez
Primero Basico B,10,89012347-7,Antonio,Ruiz
Primero Basico B,10,90123458-8,Laura,Martinez
Segundo Basico A,10,12349876-9,Mateo,Silva
Segundo Basico A,10,98764321-1,Catalina,Morales
Segundo Basico A,10,23458967-0,Joaquin,Perez
Segundo Basico A,10,34567892-2,Valentina,Fernandez
Segundo Basico A,10,45987654-3,Tomas,Gomez
Segundo Basico A,10,56781234-4,Fernanda,Lopez
Segundo Basico A,10,67892345-5,Alejandro,Rodriguez
Segundo Basico A,10,78901235-6,Mariana,Chavez
Segundo Basico A,10,89012347-7,Nicolas,Ruiz
Segundo Basico A,10,90123458-8,Luciana,Martinez
Segundo Basico B,10,12349876-9,Benjamin,Silva
Segundo Basico B,10,98764321-1,Isabel,Morales
Segundo Basico B,10,23458967-0,Santiago,Perez
Segundo Basico B,10,34567892-2,Camila,Fernandez
Segundo Basico B,10,45987654-3,Maximiliano,Gomez
Segundo Basico B,10,56781234-4,Emilia,Lopez
Segundo Basico B,10,67892345-5,Lucas,Rodriguez
Segundo Basico B,10,78901235-6,Maite,Chavez
Segundo Basico B,10,89012347-7,Javier,Ruiz
Segundo Basico B,10,90123458-8,Olivia,Martinez
Tercero Basico A,10,12349876-9,Emiliano,Silva
Tercero Basico A,10,98764321-1,Valeria,Morales
Tercero Basico A,10,23458967-0,Matias,Perez
Tercero Basico A,10,34567892-2,Abril,Fernandez
Tercero Basico A,10,45987654-3,Santiago,Gomez
Tercero Basico A,10,56781234-4,Daniela,Lopez
Tercero Basico A,10,67892345-5,Antonio,Rodriguez
Tercero Basico A,10,78901235-6,Valentina,Chavez
Tercero Basico A,10,89012347-7,Benjamin,Ruiz
Tercero Basico A,10,90123458-8,Catalina,Martinez
Tercero Basico B,10,12349876-9,Maria,Silva
Tercero Basico B,10,98764321-1,Lucas,Morales
Tercero Basico B,10,23458967-0,Emilia,Perez
Tercero Basico B,10,34567892-2,Alexander,Fernandez
Tercero Basico B,10,45987654-3,Maite,Gomez
Tercero Basico B,10,56781234-4,Nicolas,Lopez
Tercero Basico B,10,67892345-5,Isabella,Rodriguez
Tercero Basico B,10,78901235-6,Benjamin,Chavez
Tercero Basico B,10,89012347-7,Mateo,Ruiz
Tercero Basico B,10,90123458-8,Valeria,Martinez
Cuarto Basico A,10,12349876-9,Sofia,Silva
Cuarto Basico A,10,98764321-1,Tomas,Morales
Cuarto Basico A,10,23458967-0,Emiliano,Perez
Cuarto Basico A,10,34567892-2,Valentina,Fernandez
Cuarto Basico A,10,45987654-3,Joaquin,Gomez
Cuarto Basico A,10,56781234-4,Camila,Lopez
Cuarto Basico A,10,67892345-5,Santiago,Rodriguez
Cuarto Basico A,10,78901235-6,Matias,Chavez
Cuarto Basico A,10,89012347-7,Isabel,Ruiz
Cuarto Basico A,10,90123458-8,Lucas,Martinez
Cuarto Basico B,10,12349876-9,Daniela,Silva
Cuarto Basico B,10,98764321-1,Maximiliano,Morales
Cuarto Basico B,10,23458967-0,Emilia,Perez
Cuarto Basico B,10,34567892-2,Olivia,Fernandez
Cuarto Basico B,10,45987654-3,Maite,Gomez
Cuarto Basico B,10,56781234-4,Alexander,Lopez
Cuarto Basico B,10,67892345-5,Benjamin,Rodriguez
Cuarto Basico B,10,78901235-6,Maria,Chavez
Cuarto Basico B,10,89012347-7,Luciana,Ruiz
Cuarto Basico B,10,90123458-8,Laura,Martinez
Quinto Basico A,10,12349876-9,Maite,Silva
Quinto Basico A,10,98764321-1,Alexander,Morales
Quinto Basico A,10,23458967-0,Laura,Perez
Quinto Basico A,10,34567892-2,Valeria,Fernandez
Quinto Basico A,10,45987654-3,Lucas,Gomez
Quinto Basico A,10,56781234-4,Camila,Lopez
Quinto Basico A,10,67892345-5,Daniela,Rodriguez
Quinto Basico A,10,78901235-6,Benjamin,Chavez
Quinto Basico A,10,89012347-7,Maximiliano,Ruiz
Quinto Basico A,10,90123458-8,Emilia,Martinez
Quinto Basico B,10,12349876-9,Joaquin,Silva
Quinto Basico B,10,98764321-1,Valentina,Morales
Quinto Basico B,10,23458967-0,Tomas,Perez
Quinto Basico B,10,34567892-2,Catalina,Fernandez
Quinto Basico B,10,45987654-3,Abril,Gomez
Quinto Basico B,10,56781234-4,Nicolas,Lopez
Quinto Basico B,10,67892345-5,Lucia,Rodriguez
Quinto Basico B,10,78901235-6,Isabella,Chavez
Quinto Basico B,10,89012347-7,Santiago,Ruiz
Quinto Basico B,10,90123458-8,Mariana,Martinez
Sexto Basico A,10,12349876-9,Diego,Silva
Sexto Basico A,10,98764321-1,Ana,Morales
Sexto Basico A,10,23458967-0,Sofia,Perez
Sexto Basico A,10,34567892-2,Luis,Fernandez
Sexto Basico A,10,45987654-3,Maria,Gomez
Sexto Basico A,10,56781234-4,Pedro,Lopez
Sexto Basico A,10,67892345-5,Valentina,Rodriguez
Sexto Basico A,10,78901235-6,Diego,Chavez
Sexto Basico A,10,89012347-7,Sofia,Ruiz
Sexto Basico A,10,90123458-8,Manuel,Martinez
Sexto Basico B,10,12349876-9,Carlos,Silva
Sexto Basico B,10,98764321-1,Ana,Sanchez
Sexto Basico B,10,23458967-0,Miguel,Perez
Sexto Basico B,10,34567892-2,Julia,Fernandez
Sexto Basico B,10,45987654-3,David,Gomez
Sexto Basico B,10,56781234-4,Isabella,Lopez
Sexto Basico B,10,67892345-5,Diego,Rodriguez
Sexto Basico B,10,78901235-6,Lucia,Chavez
Sexto Basico B,10,89012347-7,Antonio,Ruiz
Sexto Basico B,10,90123458-8,Laura,Martinez
Septimo Basico A,10,12349876-9,Mateo,Silva
Septimo Basico A,10,98764321-1,Catalina,Morales
Septimo Basico A,10,23458967-0,Joaquin,Perez
Septimo Basico A,10,34567892-2,Valentina,Fernandez
Septimo Basico A,10,45987654-3,Tomas,Gomez
Septimo Basico A,10,56781234-4,Fernanda,Lopez
Septimo Basico A,10,67892345-5,Alejandro,Rodriguez
Septimo Basico A,10,78901235-6,Mariana,Chavez
Septimo Basico A,10,89012347-7,Nicolas,Ruiz
