Nombre del Curso,Cantidad de Alumnos,Rut,Nombre Alumno,Apellido Alumno
Primero Basico A,10,11111111-1,Lucas,Smith
Primero Basico A,10,22222222-2,Isabella,Johnson
Primero Basico A,10,33333333-3,Mateo,Brown
Primero Basico A,10,44444444-4,Valentina,Williams
Primero Basico A,10,55555555-5,Liam,Jones
Primero Basico A,10,66666666-6,Mia,Miller
Primero Basico A,10,77777777-7,Diego,Davis
Primero Basico A,10,88888888-8,Olivia,Garcia
Primero Basico A,10,99999999-9,Nicolas,Rodriguez
Primero Basico A,10,10101010-0,Sofia,Martinez
Primero Basico B,10,12121212-1,Lucas,Anderson
Primero Basico B,10,13131313-2,Isabella,Thompson
Primero Basico B,10,14141414-3,Mateo,White
Primero Basico B,10,15151515-4,Valentina,Harris
Primero Basico B,10,16161616-5,Liam,Martin
Primero Basico B,10,17171717-6,Mia,Lewis
Primero Basico B,10,18181818-7,Diego,Young
Primero Basico B,10,19191919-8,Olivia,Hall
Primero Basico B,10,20202020-9,Nicolas,Clark
Primero Basico B,10,21212121-0,Sofia,Hernandez
Segundo Basico A,10,23232323-1,Lucas,Williams
Segundo Basico A,10,24242424-2,Isabella,Jones
Segundo Basico A,10,25252525-3,Mateo,Miller
Segundo Basico A,10,26262626-4,Valentina,Davis
Segundo Basico A,10,27272727-5,Liam,Garcia
Segundo Basico A,10,28282828-6,Mia,Johnson
Segundo Basico A,10,29292929-7,Diego,Smith
Segundo Basico A,10,30303030-8,Olivia,Brown
Segundo Basico A,10,31313131-9,Nicolas,Anderson
Segundo Basico A,10,32323232-0,Sofia,Thompson
Segundo Basico B,10,33333333-1,Lucas,White
Segundo Basico B,10,34343434-2,Isabella,Harris
Segundo Basico B,10,35353535-3,Mateo,Martin
Segundo Basico B,10,36363636-4,Valentina,Lewis
Segundo Basico B,10,37373737-5,Liam,Young
Segundo Basico B,10,38383838-6,Mia,Hall
Segundo Basico B,10,39393939-7,Diego,Clark
Segundo Basico B,10,40404040-8,Olivia,Hernandez
Segundo Basico B,10,41414141-9,Nicolas,Williams
Segundo Basico B,10,42424242-0,Sofia,Jones
Tercero Basico A,10,43434343-1,Lucas,Miller
Tercero Basico A,10,44444444-2,Isabella,Davis
Tercero Basico A,10,45454545-3,Mateo,Garcia
Tercero Basico A,10,46464646-4,Valentina,Johnson
Tercero Basico A,10,47474747-5,Liam,Smith
Tercero Basico A,10,48484848-6,Mia,Brown
Tercero Basico A,10,49494949-7,Diego,Anderson
Tercero Basico A,10,50505050-8,Olivia,Thompson
Tercero Basico A,10,51515151-9,Nicolas,White
Tercero Basico A,10,52525252-0,Sofia,Harris
Tercero Basico B,10,53535353-1,Lucas,Martin
Tercero Basico B,10,54545454-2,Isabella,Lewis
Tercero Basico B,10,55555555-3,Mateo,Young
Tercero Basico B,10,56565656-4,Valentina,Hall
Tercero Basico B,10,57575757-5,Liam,Clark
Tercero Basico B,10,58585858-6,Mia,Hernandez
Tercero Basico B,10,59595959-7,Diego,Williams
Tercero Basico B,10,60606060-8,Olivia,Jones
Tercero Basico B,10,61616161-9,Nicolas,Miller
Tercero Basico B,10,62626262-0,Sofia,Davis
Cuarto Basico A,10,63636363-1,Lucas,Garcia
Cuarto Basico A,10,64646464-2,Isabella,Johnson
Cuarto Basico A,10,65656565-3,Mateo,Smith
Cuarto Basico A,10,66666666-4,Valentina,Brown
Cuarto Basico A,10,67676767-5,Liam,Anderson
Cuarto Basico A,10,68686868-6,Mia,Thompson
Cuarto Basico A,10,69696969-7,Diego,White
Cuarto Basico A,10,70707070-8,Olivia,Harris
Cuarto Basico A,10,71717171-9,Nicolas,Martin
Cuarto Basico A,10,72727272-0,Sofia,Lewis
Cuarto Basico B,10,73737373-1,Lucas,Young
Cuarto Basico B,10,74747474-2,Isabella,Hall
Cuarto Basico B,10,75757575-3,Mateo,Clark
Cuarto Basico B,10,76767676-4,Valentina,Hernandez
Cuarto Basico B,10,77777777-5,Liam,Williams
Cuarto Basico B,10,78787878-6,Mia,Jones
Cuarto Basico B,10,79797979-7,Diego,Miller
Cuarto Basico B,10,80808080-8,Olivia,Davis
Cuarto Basico B,10,81818181-9,Nicolas,Garcia
Cuarto Basico B,10,82828282-0,Sofia,Johnson
Quinto Basico A,10,83838383-1,Lucas,Smith
Quinto Basico A,10,84848484-2,Isabella,Brown
Quinto Basico A,10,85858585-3,Mateo,Johnson
Quinto Basico A,10,86868686-4,Valentina,Anderson
Quinto Basico A,10,87878787-5,Liam,Thompson
Quinto Basico A,10,88888888-6,Mia,White
Quinto Basico A,10,89898989-7,Diego,Harris
Quinto Basico A,10,90909090-8,Olivia,Martin
Quinto Basico A,10,91919191-9,Nicolas,Lewis
Quinto Basico A,10,92929292-0,Sofia,Young
Quinto Basico B,10,93939393-1,Lucas,Hall
Quinto Basico B,10,94949494-2,Isabella,Clark
Quinto Basico B,10,95959595-3,Mateo,Hernandez
Quinto Basico B,10,96969696-4,Valentina,Williams
Quinto Basico B,10,97979797-5,Liam,Jones
Quinto Basico B,10,98989898-6,Mia,Miller
Quinto Basico B,10,99999999-7,Diego,Davis
Quinto Basico B,10,10101010-8,Olivia,Garcia
Quinto Basico B,10,11111111-9,Nicolas,Johnson
Quinto Basico B,10,12121212-0,Sofia,Smith
Sexto Basico A,10,13131313-1,Lucas,Thompson
Sexto Basico A,10,14141414-2,Isabella,White
Sexto Basico A,10,15151515-3,Mateo,Harris
Sexto Basico A,10,16161616-4,Valentina,Martin
Sexto Basico A,10,17171717-5,Liam,Lewis
Sexto Basico A,10,18181818-6,Mia,Young
Sexto Basico A,10,19191919-7,Diego,Hall
Sexto Basico A,10,20202020-8,Olivia,Clark
Sexto Basico A,10,21212121-9,Nicolas,Hernandez
Sexto Basico A,10,22222222-0,Sofia,Williams
Sexto Basico B,10,23232323-1,Lucas,Jones
Sexto Basico B,10,24242424-2,Isabella,Miller
Sexto Basico B,10,25252525-3,Mateo,Davis
Sexto Basico B,10,26262626-4,Valentina,Garcia
Sexto Basico B,10,27272727-5,Liam,Anderson
Sexto Basico B,10,28282828-6,Mia,Thompson
Sexto Basico B,10,29292929-7,Diego,White
Sexto Basico B,10,30303030-8,Olivia,Harris
Sexto Basico B,10,31313131-9,Nicolas,Martin
Sexto Basico B,10,32323232-0,Sofia,Lewis
Septimo Basico A,10,33333333-1,Lucas,Young
Septimo Basico A,10,34343434-2,Isabella,Hall
Septimo Basico A,10,35353535-3,Mateo,Clark
Septimo Basico A,10,36363636-4,Valentina,Hernandez
Septimo Basico A,10,37373737-5,Liam,Williams
Septimo Basico A,10,38383838-6,Mia,Jones
Septimo Basico A,10,39393939-7,Diego,Miller
Septimo Basico A,10,40404040-8,Olivia,Davis
Septimo Basico A,10,41414141-9,Nicolas,Garcia
Septimo Basico A,10,42424242-0,Sofia,Johnson
Septimo Basico B,10,43434343-1,Lucas,Smith
Septimo Basico B,10,44444444-2,Isabella,Brown
Septimo Basico B,10,45454545-3,Mateo,Johnson
Septimo Basico B,10,46464646-4,Valentina,Anderson
Septimo Basico B,10,47474747-5,Liam,Thompson
Septimo Basico B,10,48484848-6,Mia,White
Septimo Basico B,10,49494949-7,Diego,Harris
Septimo Basico B,10,50505050-8,Olivia,Martin
Septimo Basico B,10,51515151-9,Nicolas,Lewis
Septimo Basico B,10,52525252-0,Sofia,Young
Octavo Basico A,10,53535353-1,Lucas,Hall
Octavo Basico A,10,54545454-2,Isabella,Clark
Octavo Basico A,10,55555555-3,Mateo,Hernandez
Octavo Basico A,10,56565656-4,Valentina,Williams
Octavo Basico A,10,57575757-5,Liam,Jones
Octavo Basico A,10,58585858-6,Mia,Miller
Octavo Basico A,10,59595959-7,Diego,Davis
Octavo Basico A,10,60606060-8,Olivia,Garcia
Octavo Basico A,10,61616161-9,Nicolas,Johnson
Octavo Basico A,10,62626262-0,Sofia,Smith
Octavo Basico B,10,63636363-1,Lucas,Thompson
Octavo Basico B,10,64646464-2,Isabella,White
Octavo Basico B,10,65656565-3,Mateo,Harris
Octavo Basico B,10,66666666-4,Valentina,Martin
Octavo Basico B,10,67676767-5,Liam,Lewis
Octavo Basico B,10,68686868-6,Mia,Young
Octavo Basico B,10,69696969-7,Diego,Hall
Octavo Basico B,10,70707070-8,Olivia,Clark
Octavo Basico B,10,71717171-9,Nicolas,Hernandez
Octavo Basico B,10,72727272-0,Sofia,Williams
